,key,values
116,"['CH4', '0.4', '2010']",['225420.8']
117,"['CH4', '0.4', '2011']",['218781.7']
118,"['CH4', '0.4', '2012']",['210934.2']
119,"['CH4', '0.4', '2013']",['207147.8']
120,"['CH4', '0.4', '2014']",['202483.2']
121,"['CH4', '0.4', '2015']",['196725.7']
122,"['CH4', '0.4', '2016']",['193701.8']
123,"['CH4', '0.4', '2017']",['192287.7']
124,"['CH4', '0.4', '2018']",['191773.2']
125,"['CH4', '0.4', '2019']",['184399.6']
126,"['CH4', '0.4', '2020']",['180911.2']
127,"['CH4', '0.4', '2021']",['178754.0']
128,"['N2O_CO2-ekv.', '0.4', '1990']",['6189.5']
129,"['N2O_CO2-ekv.', '0.4', '1991']",['6060.5']
130,"['N2O_CO2-ekv.', '0.4', '1992']",['5914.6']
131,"['N2O_CO2-ekv.', '0.4', '1993']",['6101.7']
132,"['N2O_CO2-ekv.', '0.4', '1994']",['6126.1']
133,"['N2O_CO2-ekv.', '0.4', '1995']",['6000.7']
134,"['N2O_CO2-ekv.', '0.4', '1996']",['6018.2']
135,"['N2O_CO2-ekv.', '0.4', '1997']",['6054.3']
136,"['N2O_CO2-ekv.', '0.4', '1998']",['6116.6']
137,"['N2O_CO2-ekv.', '0.4', '1999']",['5847.7']
138,"['N2O_CO2-ekv.', '0.4', '2000']",['5788.1']
139,"['N2O_CO2-ekv.', '0.4', '2001']",['5661.0']
140,"['N2O_CO2-ekv.', '0.4', '2002']",['5584.4']
141,"['N2O_CO2-ekv.', '0.4', '2003']",['5541.3']
142,"['N2O_CO2-ekv.', '0.4', '2004']",['5561.6']
143,"['N2O_CO2-ekv.', '0.4', '2005']",['5461.7']
144,"['N2O_CO2-ekv.', '0.4', '2006']",['5403.1']
145,"['N2O_CO2-ekv.', '0.4', '2007']",['5242.3']
146,"['N2O_CO2-ekv.', '0.4', '2008']",['5351.9']
147,"['N2O_CO2-ekv.', '0.4', '2009']",['5177.0']
148,"['N2O_CO2-ekv.', '0.4', '2010']",['5320.6']
149,"['N2O_CO2-ekv.', '0.4', '2011']",['4975.6']
150,"['N2O_CO2-ekv.', '0.4', '2012']",['4862.1']
